validationMetric,targetFunction,memory,columnAnalytics,parameters
0.4657233180730222,0.4657233180730222,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.9813204009814981, ""RMSE"": 0.09844379824667511, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": -0.04987376483545369, ""RMSE"": 0.73370862126171, ""MCC"": null}]","{'network': {'data for intercept': 8, 'gradient directions': 0, 'extra data filters': -0.15399721651299547, 'iteration layers': 2, 'distribution samples': 81, 'extra data in gradient': 56, 'fraction data in intercept': 0.47477600009212434, 'data in gradient': 57}, 'training': {'input nodes': 1, 'fraction divisions tried': 0.2102616816338359, 'steepest permissible gradient': 0.14119967553725493, 'hybridization tolerance': 0.2717497192361126}}"
0.19127809207568414,0.19127809207568414,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.39827174328554915, ""RMSE"": 0.5587336015725423, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": -0.01571555913418088, ""RMSE"": 0.7216741229826313, ""MCC"": null}]","{'network': {'data for intercept': 34, 'gradient directions': 0, 'extra data filters': -0.3681217905065969, 'iteration layers': 2, 'distribution samples': 14, 'extra data in gradient': 5, 'fraction data in intercept': 0.4056000188790539, 'data in gradient': 6}, 'training': {'input nodes': 2, 'fraction divisions tried': 0.9684017085256968, 'steepest permissible gradient': 0.8719943545503094, 'hybridization tolerance': 0.1831802767919124}}"
0.40681962236481467,0.40681962236481467,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.8153586045696698, ""RMSE"": 0.3095060365758153, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": -0.0017193598400404575, ""RMSE"": 0.716684668711411, ""MCC"": null}]","{'network': {'data for intercept': 30, 'gradient directions': 1, 'extra data filters': 0.04837028362726625, 'iteration layers': 3, 'distribution samples': 62, 'extra data in gradient': 11, 'fraction data in intercept': 0.32913205244262833, 'data in gradient': 13}, 'training': {'input nodes': 1, 'fraction divisions tried': 0.42893245087137677, 'steepest permissible gradient': 27.948148052752916, 'hybridization tolerance': 0.0537375220203726}}"
0.08900342141721312,0.08900342141721312,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.20173640836281892, ""RMSE"": 0.6435432625892173, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": -0.02372956552839267, ""RMSE"": 0.7245155374894179, ""MCC"": null}]","{'network': {'data for intercept': 73, 'gradient directions': 0, 'extra data filters': -0.41632472451265545, 'iteration layers': 2, 'distribution samples': 17, 'extra data in gradient': 13, 'fraction data in intercept': 0.21086407175169142, 'data in gradient': 14}, 'training': {'input nodes': 1, 'fraction divisions tried': 0.23192512045431962, 'steepest permissible gradient': 15.109423900831104, 'hybridization tolerance': 0.0002621716443770225}}"
0.2218720020765882,0.2218720020765882,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.45015713612867514, ""RMSE"": 0.5341016055695629, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": -0.006413131975498754, ""RMSE"": 0.7183617966747758, ""MCC"": null}]","{'network': {'data for intercept': 87, 'gradient directions': 1, 'extra data filters': 0.2941652179419053, 'iteration layers': 2, 'distribution samples': 62, 'extra data in gradient': 6, 'fraction data in intercept': 0.45126171224714606, 'data in gradient': 8}, 'training': {'input nodes': 1, 'fraction divisions tried': 0.3754528178606655, 'steepest permissible gradient': 0.8973065057729989, 'hybridization tolerance': 0.020369703217773136}}"
0.025745835676224293,0.025745835676224293,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.0549204382313343, ""RMSE"": 0.7002268709805876, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": -0.003428766878885714, ""RMSE"": 0.7172959095735699, ""MCC"": null}]","{'network': {'data for intercept': 83, 'gradient directions': 0, 'extra data filters': 0.12174162619449713, 'iteration layers': 1, 'distribution samples': 78, 'extra data in gradient': 22, 'fraction data in intercept': 0.0691521112697861, 'data in gradient': 23}, 'training': {'input nodes': 2, 'fraction divisions tried': 0.32389632019664927, 'steepest permissible gradient': 0.26193859504513806, 'hybridization tolerance': 0.17839713778745842}}"
0.6093486116646116,0.6093486116646116,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.737655711682431, ""RMSE"": 0.368926960387378, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.4810415116467922, ""RMSE"": 0.5158475716662316, ""MCC"": null}]","{'network': {'data for intercept': 4, 'gradient directions': 0, 'extra data filters': 0.44571455588944897, 'iteration layers': 1, 'distribution samples': 64, 'extra data in gradient': 1, 'fraction data in intercept': 0.467838748942694, 'data in gradient': 2}, 'training': {'input nodes': 2, 'fraction divisions tried': 0.5127325169143165, 'steepest permissible gradient': 0.5480644578273403, 'hybridization tolerance': 0.14229672148712935}}"
0.6031755319055911,0.6031755319055911,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.8017003491668869, ""RMSE"": 0.3207491851843119, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.4046507146442955, ""RMSE"": 0.5525110890242477, ""MCC"": null}]","{'network': {'data for intercept': 5, 'gradient directions': 0, 'extra data filters': 0.23524763207392152, 'iteration layers': 2, 'distribution samples': 72, 'extra data in gradient': 66, 'fraction data in intercept': 0.4094654218284344, 'data in gradient': 67}, 'training': {'input nodes': 2, 'fraction divisions tried': 0.8528358703740537, 'steepest permissible gradient': 0.4665155934438504, 'hybridization tolerance': 0.1403368288115056}}"
0.5040411576369446,0.5040411576369446,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.7270722123168326, ""RMSE"": 0.3762950145447717, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.28101010295705664, ""RMSE"": 0.6071786251706042, ""MCC"": null}]","{'network': {'data for intercept': 9, 'gradient directions': 0, 'extra data filters': 0.4163719692671265, 'iteration layers': 1, 'distribution samples': 59, 'extra data in gradient': 7, 'fraction data in intercept': 0.4540561156103224, 'data in gradient': 8}, 'training': {'input nodes': 2, 'fraction divisions tried': 0.757595892028029, 'steepest permissible gradient': 11.095814947241278, 'hybridization tolerance': 0.17220517856522444}}"
0.08033691431181683,0.08033691431181683,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.17935454691812514, ""RMSE"": 0.6525027867390529, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": -0.018680718294491472, ""RMSE"": 0.7227267401085209, ""MCC"": null}]","{'network': {'data for intercept': 26, 'gradient directions': 1, 'extra data filters': -0.05550078780517853, 'iteration layers': 2, 'distribution samples': 53, 'extra data in gradient': 84, 'fraction data in intercept': 0.1565038443029479, 'data in gradient': 86}, 'training': {'input nodes': 2, 'fraction divisions tried': 0.7371052930034603, 'steepest permissible gradient': 36.56408647096173, 'hybridization tolerance': 0.1553432754164089}}"
0.19347941517834322,0.19347941517834322,12288,"[{""name"": ""x"", ""numValidationSamples"": null, ""coefficientOfDetermination"": null, ""RMSE"": null, ""MCC"": null}, {""name"": ""y1"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": 0.39489217873308347, ""RMSE"": 0.560300448674865, ""MCC"": null}, {""name"": ""y2"", ""numValidationSamples"": 200, ""coefficientOfDetermination"": -0.007933348376397031, ""RMSE"": 0.7189041451708456, ""MCC"": null}]","{'network': {'data for intercept': 31, 'gradient directions': 0, 'extra data filters': 0.35836203120053367, 'iteration layers': 2, 'distribution samples': 31, 'extra data in gradient': 13, 'fraction data in intercept': 0.17118558323419064, 'data in gradient': 14}, 'training': {'input nodes': 1, 'fraction divisions tried': 0.41146710246266, 'steepest permissible gradient': 15.531360949859776, 'hybridization tolerance': 0.12414355871252362}}"
